Designator,Mid X,Mid Y,Rotation,Layer
D1,121.954,-46.482,0.0,top
D10,75.438,-52.036,90.0,top
D11,59.0804,-51.782,90.0,top
D12,42.418,-60.164,90.0,top
D13,122.174,-79.248,0.0,top
D14,108.458,-72.39,90.0,top
D15,91.948,-68.292,90.0,top
D16,75.438,-68.292,90.0,top
D17,58.928,-68.292,90.0,top
D18,42.418,-76.166,90.0,top
D19,135.636,-80.5688,270.0,top
D2,108.712,-39.59,90.0,top
D20,123.698,-98.298,0.0,top
D21,123.698,-95.758,0.0,top
D22,108.458,-89.154,90.0,top
D23,91.948,-84.802,90.0,top
D24,75.438,-84.802,90.0,top
D3,91.948,-35.272,90.0,top
D4,75.438,-35.306,90.0,top
D5,58.928,-35.306,90.0,top
D6,42.418,-43.654,90.0,top
D7,125.476,-61.434,90.0,top
D8,108.458,-56.134,90.0,top
D9,91.948,-51.782,90.0,top
J1,136.398,-28.956,0.0,top
SW1,116.84,-38.1,0.0,top
SW10,67.34,-50.475,0.0,top
SW11,50.84,-50.475,0.0,top
SW12,34.34,-58.725,0.0,top
SW13,116.84,-71.1,0.0,top
SW14,100.34,-66.975,0.0,top
SW15,83.84,-66.975,0.0,top
SW16,67.34,-66.975,0.0,top
SW17,50.84,-66.975,0.0,top
SW18,34.34,-75.225,0.0,top
SW19,133.096,-79.497,0.0,top
SW2,100.34,-33.975,0.0,top
SW20,133.34,-91.725,0.0,top
SW21,116.84,-87.6,0.0,top
SW22,100.34,-83.475,0.0,top
SW23,83.84,-83.475,0.0,top
SW24,67.34,-83.475,0.0,top
SW3,83.84,-33.975,0.0,top
SW4,67.34,-33.975,0.0,top
SW5,50.84,-33.975,0.0,top
SW6,34.34,-42.225,0.0,top
SW7,116.84,-54.61,0.0,top
SW8,100.34,-50.475,0.0,top
SW9,83.84,-50.475,0.0,top
U1,135.54,-46.19,0.0,top
